"날짜","종가","시가","고가","저가","변동 %"
"2004- 10- 01","4.789","4.789","4.789","4.789","-1.09%"
"2004- 09- 01","4.842","4.842","4.842","4.842","-1.51%"
"2004- 08- 01","4.916","4.916","4.916","4.916","-5.44%"
"2004- 07- 01","5.199","5.199","5.199","5.199","-1.72%"
"2004- 06- 01","5.290","5.290","5.290","5.290","-0.53%"
"2004- 05- 01","5.318","5.318","5.318","5.318","0.91%"
"2004- 04- 01","5.270","5.270","5.270","5.270","10.48%"
"2004- 03- 01","4.770","4.770","4.770","4.770","-1.47%"
"2004- 02- 01","4.841","4.841","4.841","4.841","-2.28%"
"2004- 01- 01","4.954","4.954","4.954","4.954","-2.33%"
"2003- 12- 01","5.072","5.072","5.072","5.072","0.20%"
"2003- 11- 01","5.062","5.062","5.062","5.062","-1.34%"
"2003- 10- 01","5.131","5.131","5.131","5.131","5.29%"
"2003- 09- 01","4.873","4.873","4.873","4.873","-6.65%"
"2003- 08- 01","5.220","5.220","5.220","5.220","-2.21%"
"2003- 07- 01","5.338","5.338","5.338","5.338","17.09%"
"2003- 06- 01","4.559","4.559","4.559","4.559","4.13%"
"2003- 05- 01","4.378","4.378","4.378","4.378","-8.51%"
"2003- 04- 01","4.785","4.785","4.785","4.785","-1.03%"
"2003- 03- 01","4.835","4.835","4.835","4.835","3.03%"
"2003- 02- 01","4.693","4.693","4.693","4.693","-3.04%"
"2003- 01- 01","4.840","4.840","4.840","4.840","1.21%"
"2002- 12- 01","4.782","4.782","4.782","4.782","-5.16%"
"2002- 11- 01","5.042","5.042","5.042","5.042","1.04%"
"2002- 10- 01","4.990","4.990","4.990","4.990","6.85%"
"2002- 09- 01","4.670","4.670","4.670","4.670","-5.24%"
"2002- 08- 01","4.928","4.928","4.928","4.928","-7.16%"
"2002- 07- 01","5.308","5.308","5.308","5.308","-3.74%"
"2002- 06- 01","5.514","5.514","5.514","5.514","-1.83%"
"2002- 05- 01","5.617","5.617","5.617","5.617","0.38%"
"2002- 04- 01","5.596","5.596","5.596","5.596","-3.53%"
"2002- 03- 01","5.801","5.801","5.801","5.801","7.05%"
"2002- 02- 01","5.419","5.419","5.419","5.419","-0.35%"
"2002- 01- 01","5.438","5.438","5.438","5.438","-0.57%"
"2001- 12- 01","5.469","5.469","5.469","5.469","3.46%"
"2001- 11- 01","5.286","5.286","5.286","5.286","8.50%"
"2001- 10- 01","4.872","4.872","4.872","4.872","-10.14%"
"2001- 09- 01","5.422","5.422","5.422","5.422","0.95%"
"2001- 08- 01","5.371","5.371","5.371","5.371","-2.80%"
"2001- 07- 01","5.526","5.526","5.526","5.526","-4.08%"
"2001- 06- 01","5.761","5.761","5.761","5.761","0.09%"
"2001- 05- 01","5.756","5.756","5.756","5.756","-0.52%"
"2001- 04- 01","5.786","5.786","5.786","5.786","6.26%"
"2001- 03- 01","5.445","5.445","5.445","5.445","2.45%"
"2001- 02- 01","5.315","5.315","5.315","5.315","-3.43%"
"2001- 01- 01","5.504","5.504","5.504","5.504","0.88%"
"2000- 12- 01","5.456","5.456","5.456","5.456","-2.73%"
"2000- 11- 01","5.609","5.609","5.609","5.609","-3.08%"
