"날짜","종가","시가","고가","저가","거래량","변동 %"
"2019- 03- 28","44,850","44,950","45,200","44,300","6.81M","-1.10%"
"2019- 03- 27","45,350","44,750","45,600","44,250","9.32M","0.22%"
"2019- 03- 26","45,250","45,500","45,700","44,900","9.65M","-0.55%"
"2019- 03- 25","45,500","45,300","45,650","44,800","8.68M","-2.26%"
"2019- 03- 22","46,550","46,850","47,000","46,250","12.49M","1.53%"
"2019- 03- 21","45,850","44,600","46,250","44,050","21.03M","4.09%"
"2019- 03- 20","44,050","43,800","44,200","43,100","9.83M","0.34%"
"2019- 03- 19","43,900","43,750","43,900","43,550","7.60M","0.46%"
"2019- 03- 18","43,700","43,950","44,150","43,450","8.16M","-1.13%"
"2019- 03- 15","44,200","43,800","44,250","43,700","14.61M","0.80%"
"2019- 03- 14","43,850","43,700","44,300","43,550","18.02M","0.00%"
"2019- 03- 13","43,850","44,250","44,450","43,700","8.10M","-1.79%"
"2019- 03- 12","44,650","44,300","44,950","44,150","10.83M","2.29%"
"2019- 03- 11","43,650","44,400","44,450","43,650","8.51M","-0.34%"
"2019- 03- 08","43,800","44,450","44,800","43,800","7.70M","-1.46%"
"2019- 03- 07","44,450","43,400","44,950","43,400","10.99M","1.02%"
"2019- 03- 06","44,000","44,000","44,300","43,700","9.95M","-0.56%"
"2019- 03- 05","44,250","44,600","45,100","44,150","10.50M","-1.34%"
"2019- 03- 04","44,850","46,000","46,100","44,800","12.67M","-0.55%"
"2019- 02- 28","45,100","46,400","46,500","45,100","23.50M","-3.53%"
"2019- 02- 27","46,750","47,000","47,250","46,750","7.69M","0.00%"
"2019- 02- 26","46,750","47,350","47,450","46,500","7.98M","-1.27%"
"2019- 02- 25","47,350","47,400","47,550","47,050","7.46M","0.42%"
"2019- 02- 22","47,150","46,500","47,150","46,450","6.67M","0.43%"
"2019- 02- 21","46,950","46,500","47,200","46,200","8.45M","0.11%"
"2019- 02- 20","46,900","46,750","47,100","46,500","11.22M","2.07%"
"2019- 02- 19","45,950","45,850","46,150","45,450","6.73M","-0.54%"
"2019- 02- 18","46,200","46,500","46,850","45,850","8.17M","0.33%"
"2019- 02- 15","46,050","46,750","46,850","45,650","10.54M","-3.05%"
"2019- 02- 14","47,500","46,600","47,500","46,150","17.12M","2.81%"
"2019- 02- 13","46,200","46,400","46,700","46,000","11.29M","0.33%"
"2019- 02- 12","46,050","44,650","46,250","44,650","12.99M","2.33%"
"2019- 02- 11","45,000","44,500","45,000","44,250","10.23M","0.45%"
"2019- 02- 08","44,800","45,700","45,700","44,650","12.49M","-3.03%"
"2019- 02- 07","46,200","46,800","47,100","46,200","15.64M","-0.32%"
"2019- 02- 01","46,350","46,650","46,950","46,250","13.63M","0.43%"
"2019- 01- 31","46,150","46,650","47,050","46,150","21.47M","-0.54%"
"2019- 01- 30","46,400","44,800","46,400","44,800","17.06M","1.98%"
"2019- 01- 29","45,500","45,050","45,500","44,350","15.05M","1.00%"
"2019- 01- 28","45,050","45,000","45,500","44,600","17.60M","0.67%"
"2019- 01- 25","44,750","44,300","44,750","43,750","21.94M","3.95%"
"2019- 01- 24","43,050","43,050","43,100","42,350","14.17M","2.50%"
"2019- 01- 23","42,000","41,350","42,250","41,350","10.38M","-0.36%"
"2019- 01- 22","42,150","42,750","42,850","41,850","9.91M","-1.40%"
"2019- 01- 21","42,750","42,700","42,750","41,900","11.34M","1.06%"
"2019- 01- 18","42,300","42,000","42,400","41,950","9.73M","0.83%"
"2019- 01- 17","41,950","41,700","42,100","41,450","11.57M","1.21%"
"2019- 01- 16","41,450","41,150","41,450","40,700","8.48M","0.85%"
"2019- 01- 15","41,100","40,050","41,100","39,850","11.22M","2.62%"
"2019- 01- 14","40,050","40,450","40,700","39,850","11.98M","-1.11%"
"2019- 01- 11","40,500","40,350","40,550","39,950","11.23M","1.76%"
"2019- 01- 10","39,800","40,000","40,150","39,600","14.33M","0.51%"
"2019- 01- 09","39,600","38,650","39,600","38,300","16.96M","3.94%"
"2019- 01- 08","38,100","38,000","39,200","37,950","12.64M","-1.68%"
"2019- 01- 07","38,750","38,000","38,900","37,800","11.94M","3.47%"
"2019- 01- 04","37,450","37,450","37,600","36,850","13.30M","-0.40%"
"2019- 01- 03","37,600","38,300","38,550","37,450","12.44M","-2.97%"
